id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
809,809,wysiłek,усилие,noun,Pojęcie „wysiłek” często pojawia się w codziennym życiu w Polsce.,Понятие «усилие» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wysiłek”, bo jest praktyczne.","Стоит хорошо понимать слово «усилие», потому что оно практичное."
810,810,nawyk,привычка,noun,Pojęcie „nawyk” często pojawia się w codziennym życiu w Polsce.,Понятие «привычка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „nawyk”, bo jest praktyczne.","Стоит хорошо понимать слово «привычка», потому что оно практичное."
811,811,przyzwyczajenie,привычка,noun,Pojęcie „przyzwyczajenie” często pojawia się w codziennym życiu w Polsce.,Понятие «привычка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przyzwyczajenie”, bo jest praktyczne.","Стоит хорошо понимать слово «привычка», потому что оно практичное."
812,812,przekazywać,передавать,verb,Warto umieć poprawnie używać wyrażenia „przekazywać” w rozmowie.,Стоит уметь правильно использовать выражение «передавать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
813,813,dzielić się,делиться,verb,Warto umieć poprawnie używać wyrażenia „dzielić się” w rozmowie.,Стоит уметь правильно использовать выражение «делиться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
814,814,współpracować,сотрудничать,verb,Warto umieć poprawnie używać wyrażenia „współpracować” w rozmowie.,Стоит уметь правильно использовать выражение «сотрудничать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
815,815,dyskutować,обсуждать,verb,Warto umieć poprawnie używać wyrażenia „dyskutować” w rozmowie.,Стоит уметь правильно использовать выражение «обсуждать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
816,816,negocjować,вести переговоры,verb,Warto umieć poprawnie używać wyrażenia „negocjować” w rozmowie.,Стоит уметь правильно использовать выражение «вести переговоры» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
817,817,uzgadniać,согласовывать,verb,Warto umieć poprawnie używać wyrażenia „uzgadniać” w rozmowie.,Стоит уметь правильно использовать выражение «согласовывать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
818,818,akceptować,принимать,verb,Warto umieć poprawnie używać wyrażenia „akceptować” w rozmowie.,Стоит уметь правильно использовать выражение «принимать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
819,819,odmawiać,отказывать,verb,Warto umieć poprawnie używać wyrażenia „odmawiać” w rozmowie.,Стоит уметь правильно использовать выражение «отказывать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
820,820,wiedza,знания,noun,Pojęcie „wiedza” często pojawia się w codziennym życiu w Polsce.,Понятие «знания» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wiedza”, bo jest praktyczne.","Стоит хорошо понимать слово «знания», потому что оно практичное."
821,821,zdolność,способность,noun,Pojęcie „zdolność” często pojawia się w codziennym życiu w Polsce.,Понятие «способность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zdolność”, bo jest praktyczne.","Стоит хорошо понимать слово «способность», потому что оно практичное."
822,822,talent,талант,noun,Pojęcie „talent” często pojawia się w codziennym życiu w Polsce.,Понятие «талант» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „talent”, bo jest praktyczne.","Стоит хорошо понимать слово «талант», потому что оно практичное."
823,823,nauczanie,обучение,noun,Pojęcie „nauczanie” często pojawia się w codziennym życiu w Polsce.,Понятие «обучение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „nauczanie”, bo jest praktyczne.","Стоит хорошо понимать слово «обучение», потому что оно практичное."
824,824,uczyć się,учиться,verb,Warto umieć poprawnie używać wyrażenia „uczyć się” w rozmowie.,Стоит уметь правильно использовать выражение «учиться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
825,825,zapamiętać,запомнить,verb,Warto umieć poprawnie używać wyrażenia „zapamiętać” w rozmowie.,Стоит уметь правильно использовать выражение «запомнить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
826,826,pamiętać,помнить,verb,Warto umieć poprawnie używać wyrażenia „pamiętać” w rozmowie.,Стоит уметь правильно использовать выражение «помнить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
827,827,zapominać,забывать,verb,Warto umieć poprawnie używać wyrażenia „zapominać” w rozmowie.,Стоит уметь правильно использовать выражение «забывать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
828,828,myśleć,думать,verb,Warto umieć poprawnie używać wyrażenia „myśleć” w rozmowie.,Стоит уметь правильно использовать выражение «думать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
829,829,wnioskować,делать выводы,verb,Warto umieć poprawnie używać wyrażenia „wnioskować” w rozmowie.,Стоит уметь правильно использовать выражение «делать выводы» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
830,830,przewidywanie,прогнозирование,noun,Pojęcie „przewidywanie” często pojawia się w codziennym życiu w Polsce.,Понятие «прогнозирование» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przewidywanie”, bo jest praktyczne.","Стоит хорошо понимать слово «прогнозирование», потому что оно практичное."
831,831,mądrość,мудрость,noun,Pojęcie „mądrość” często pojawia się w codziennym życiu w Polsce.,Понятие «мудрость» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „mądrość”, bo jest praktyczne.","Стоит хорошо понимать слово «мудрость», потому что оно практичное."
832,832,realizacja,реализация,noun,Pojęcie „realizacja” często pojawia się w codziennym życiu w Polsce.,Понятие «реализация» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „realizacja”, bo jest praktyczne.","Стоит хорошо понимать слово «реализация», потому что оно практичное."
833,833,osiągnięcie celu,достижение цели,noun,Pojęcie „osiągnięcie celu” często pojawia się w codziennym życiu w Polsce.,Понятие «достижение цели» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „osiągnięcie celu”, bo jest praktyczne.","Стоит хорошо понимать слово «достижение цели», потому что оно практичное."
834,834,udoskonalać,совершенствовать,verb,Warto umieć poprawnie używać wyrażenia „udoskonalać” w rozmowie.,Стоит уметь правильно использовать выражение «совершенствовать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
835,835,osiągać sukces,добиваться успеха,verb,Warto umieć poprawnie używać wyrażenia „osiągać sukces” w rozmowie.,Стоит уметь правильно использовать выражение «добиваться успеха» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
836,836,ponosić odpowiedzialność,нести ответственность,verb,Warto umieć poprawnie używać wyrażenia „ponosić odpowiedzialność” w rozmowie.,Стоит уметь правильно использовать выражение «нести ответственность» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
837,837,podejmować działania,предпринимать действия,verb,Warto umieć poprawnie używać wyrażenia „podejmować działania” w rozmowie.,Стоит уметь правильно использовать выражение «предпринимать действия» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
838,838,dążyć do,стремиться к,verb,Warto umieć poprawnie używać wyrażenia „dążyć do” w rozmowie.,Стоит уметь правильно использовать выражение «стремиться к» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
839,839,mieć zastosowanie,применяться,noun,Pojęcie „formularz” często pojawia się w codziennym życiu w Polsce.,Понятие «формуляр» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „formularz”, bo jest praktyczne.","Стоит хорошо понимать слово «формуляр», потому что оно практичное."
840,840,wynosić,составлять,noun,Pojęcie „podpis” często pojawia się w codziennym życiu w Polsce.,Понятие «подпись» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „podpis”, bo jest praktyczne.","Стоит хорошо понимать слово «подпись», потому что оно практичное."
841,841,załącznik,приложение,noun,Pojęcie „załącznik” często pojawia się w codziennym życiu w Polsce.,Понятие «приложение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „załącznik”, bo jest praktyczne.","Стоит хорошо понимать слово «приложение», потому что оно практичное."
842,842,oryginał,оригинал,noun,Pojęcie „oryginał” często pojawia się w codziennym życiu w Polsce.,Понятие «оригинал» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „oryginał”, bo jest praktyczne.","Стоит хорошо понимать слово «оригинал», потому что оно практичное."
843,843,kopia,копия,noun,Pojęcie „kopia” często pojawia się w codziennym życiu w Polsce.,Понятие «копия» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kopia”, bo jest praktyczne.","Стоит хорошо понимать слово «копия», потому что оно практичное."
844,844,pełnomocnictwo,доверенность,noun,Pojęcie „pełnomocnictwo” często pojawia się w codziennym życiu w Polsce.,Понятие «доверенность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pełnomocnictwo”, bo jest praktyczne.","Стоит хорошо понимать слово «доверенность», потому что оно практичное."
845,845,status,статус,noun,Pojęcie „status” często pojawia się w codziennym życiu w Polsce.,Понятие «статус» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „status”, bo jest praktyczne.","Стоит хорошо понимать слово «статус», потому что оно практичное."
846,846,konto rozliczeniowe,расчетный счет,noun,Pojęcie „procedura” często pojawia się w codziennym życiu w Polsce.,Понятие «процедура» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „procedura”, bo jest praktyczne.","Стоит хорошо понимать слово «процедура», потому что оно практичное."
847,847,magazyn,склад,noun,Pojęcie „kryterium” często pojawia się w codziennym życiu w Polsce.,Понятие «критерий» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kryterium”, bo jest praktyczne.","Стоит хорошо понимать слово «критерий», потому что оно практичное."
848,848,przedstawiciel,представитель,noun,Pojęcie „uprawnienie” często pojawia się w codziennym życiu w Polsce.,Понятие «право» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „uprawnienie”, bo jest praktyczne.","Стоит хорошо понимать слово «право», потому что оно практичное."
849,849,kurier,курьер,verb,Warto umieć poprawnie używać wyrażenia „obowiązywać” w rozmowie.,Стоит уметь правильно использовать выражение «действовать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
850,850,zgłaszać,"сообщать, заявлять",verb,Warto umieć poprawnie używać wyrażenia „zgłaszać” w rozmowie.,Стоит уметь правильно использовать выражение «сообщать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
851,851,składać wniosek,подавать заявление,verb,Warto umieć poprawnie używać wyrażenia „składać wniosek” w rozmowie.,Стоит уметь правильно использовать выражение «подавать заявление» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
852,852,otrzymywać,получать,verb,Warto umieć poprawnie używać wyrażenia „otrzymywać” w rozmowie.,Стоит уметь правильно использовать выражение «получать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
853,853,wydawać,выдавать,verb,Warto umieć poprawnie używać wyrażenia „wydawać” w rozmowie.,Стоит уметь правильно использовать выражение «выдавать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
854,854,odbiorca,получатель,verb,Warto umieć poprawnie używać wyrażenia „zatwierdzać” w rozmowie.,Стоит уметь правильно использовать выражение «утверждать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
855,855,odwołanie,апелляция,noun,Pojęcie „odwołanie” często pojawia się w codziennym życiu w Polsce.,Понятие «апелляция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „odwołanie”, bo jest praktyczne.","Стоит хорошо понимать слово «апелляция», потому что оно практичное."
856,856,rozpatrzenie,рассмотрение,noun,Pojęcie „rozpatrzenie” często pojawia się w codziennym życiu w Polsce.,Понятие «рассмотрение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rozpatrzenie”, bo jest praktyczne.","Стоит хорошо понимать слово «рассмотрение», потому что оно практичное."
857,857,terminowo,своевременно,adverb,Wyrażenie „terminowo” pomaga budować bardziej naturalne zdania.,Выражение «своевременно» помогает строить более естественные предложения.,"Warto znać „terminowo”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «своевременно», потому что оно часто встречается в разговорах и текстах."
858,858,powiadomienie,уведомление,noun,Pojęcie „powiadomienie” często pojawia się w codziennym życiu w Polsce.,Понятие «уведомление» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „powiadomienie”, bo jest praktyczne.","Стоит хорошо понимать слово «уведомление», потому что оно практичное."
859,859,komunikat,сообщение,noun,Pojęcie „komunikat” często pojawia się w codziennym życiu w Polsce.,Понятие «сообщение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „komunikat”, bo jest praktyczne.","Стоит хорошо понимать слово «сообщение», потому что оно практичное."
860,860,informować,информировать,verb,Warto umieć poprawnie używać wyrażenia „informować” w rozmowie.,Стоит уметь правильно использовать выражение «информировать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
861,861,ogłaszać,объявлять,verb,Warto umieć poprawnie używać wyrażenia „ogłaszać” w rozmowie.,Стоит уметь правильно использовать выражение «объявлять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
862,862,publikować,публиковать,verb,Warto umieć poprawnie używać wyrażenia „publikować” w rozmowie.,Стоит уметь правильно использовать выражение «публиковать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
863,863,badanie opinii,опрос,noun,Pojęcie „badanie opinii” często pojawia się w codziennym życiu w Polsce.,Понятие «опрос» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „badanie opinii”, bo jest praktyczne.","Стоит хорошо понимать слово «опрос», потому что оно практичное."
864,864,ekspert,эксперт,noun,Pojęcie „ekspert” często pojawia się w codziennym życiu w Polsce.,Понятие «эксперт» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ekspert”, bo jest praktyczne.","Стоит хорошо понимать слово «эксперт», потому что оно практичное."
865,865,specjalizacja,специализация,noun,Pojęcie „specjalizacja” często pojawia się w codziennym życiu w Polsce.,Понятие «специализация» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „specjalizacja”, bo jest praktyczne.","Стоит хорошо понимать слово «специализация», потому что оно практичное."
866,866,wspólny,общий,adjective,Słowo „wspólny” często pomaga dokładniej opisać sytuację.,Слово «общий» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
867,867,indywidualny,индивидуальный,adjective,Słowo „indywidualny” często pomaga dokładniej opisać sytuację.,Слово «индивидуальный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
868,868,ogólny,общий,adjective,Słowo „ogólny” często pomaga dokładniej opisać sytuację.,Слово «общий» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
869,869,szczegółowy,подробный,adjective,Słowo „szczegółowy” często pomaga dokładniej opisać sytuację.,Слово «подробный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
870,870,dokładny,точный,adjective,Słowo „dokładny” często pomaga dokładniej opisać sytuację.,Слово «точный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
871,871,aktualny,актуальный,adjective,Słowo „aktualny” często pomaga dokładniej opisać sytuację.,Слово «актуальный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
872,872,przydatny,полезный,adjective,Słowo „przydatny” często pomaga dokładniej opisać sytuację.,Слово «полезный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
873,873,wartościowy,ценный,adjective,Słowo „wartościowy” często pomaga dokładniej opisać sytuację.,Слово «ценный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
874,874,niezwykle,чрезвычайно,adverb,Wyrażenie „niezwykle” pomaga budować bardziej naturalne zdania.,Выражение «чрезвычайно» помогает строить более естественные предложения.,"Warto znać „niezwykle”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «чрезвычайно», потому что оно часто встречается в разговорах и текстах."
875,875,wymagać,требовать,verb,Warto umieć poprawnie używać wyrażenia „wymagać” w rozmowie.,Стоит уметь правильно использовать выражение «требовать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
876,876,zapewnić,обеспечить,verb,Warto umieć poprawnie używać wyrażenia „zapewnić” w rozmowie.,Стоит уметь правильно использовать выражение «обеспечить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
877,877,przedstawiać,представлять,verb,Warto umieć poprawnie używać wyrażenia „przedstawiać” w rozmowie.,Стоит уметь правильно использовать выражение «представлять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
878,878,dostarczać,предоставлять,verb,Warto umieć poprawnie używać wyrażenia „dostarczać” w rozmowie.,Стоит уметь правильно использовать выражение «предоставлять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
879,879,okazywać się,оказываться,verb,Warto umieć poprawnie używać wyrażenia „okazywać się” w rozmowie.,Стоит уметь правильно использовать выражение «оказываться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
880,880,stanowić,"составлять, представлять собой",verb,Warto umieć poprawnie używać wyrażenia „stanowić” w rozmowie.,Стоит уметь правильно использовать выражение «составлять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
881,881,dążyć,стремиться,verb,Warto umieć poprawnie używać wyrażenia „dążyć” w rozmowie.,Стоит уметь правильно использовать выражение «стремиться» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
882,882,przynosić,приносить,verb,Warto umieć poprawnie używać wyrażenia „przynosić” w rozmowie.,Стоит уметь правильно использовать выражение «приносить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
883,883,dotychczasowy,прежний,adjective,Słowo „dotychczasowy” często pomaga dokładniej opisać sytuację.,Слово «прежний» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
884,884,przyszły,будущий,adjective,Słowo „przyszły” często pomaga dokładniej opisać sytuację.,Слово «будущий» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
885,885,obecny,текущий,adjective,Słowo „obecny” często pomaga dokładniej opisać sytuację.,Слово «текущий» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
886,886,pozostały,оставшийся,adjective,Słowo „pozostały” często pomaga dokładniej opisać sytuację.,Слово «оставшийся» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
887,887,właściwy,правильный,adjective,Słowo „właściwy” często pomaga dokładniej opisać sytuację.,Слово «правильный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
888,888,niewłaściwy,неправильный,adjective,Słowo „niewłaściwy” często pomaga dokładniej opisać sytuację.,Слово «неправильный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
889,889,zgodny,соответствующий,adjective,Słowo „zgodny” często pomaga dokładniej opisać sytuację.,Слово «соответствующий» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
890,890,podobnie,аналогично,adverb,Wyrażenie „podobnie” pomaga budować bardziej naturalne zdania.,Выражение «аналогично» помогает строить более естественные предложения.,"Warto znać „podobnie”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «аналогично», потому что оно часто встречается в разговорах и текстах."
891,891,jednocześnie,одновременно,adverb,Wyrażenie „jednocześnie” pomaga budować bardziej naturalne zdania.,Выражение «одновременно» помогает строить более естественные предложения.,"Warto znać „jednocześnie”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «одновременно», потому что оно часто встречается в разговорах и текстах."
892,892,w konsekwencji,вследствие этого,phrase,Wyrażenie „w konsekwencji” pomaga budować bardziej naturalne zdania.,Выражение «вследствие этого» помогает строить более естественные предложения.,"Warto znać „w konsekwencji”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «вследствие этого», потому что оно часто встречается в разговорах и текстах."
893,893,w odniesieniu do,в отношении,phrase,Wyrażenie „w odniesieniu do” pomaga budować bardziej naturalne zdania.,Выражение «в отношении» помогает строить более естественные предложения.,"Warto znać „w odniesieniu do”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «в отношении», потому что оно часто встречается в разговорах и текстах."
894,894,zgodnie z planem,согласно плану,phrase,Wyrażenie „zgodnie z planem” pomaga budować bardziej naturalne zdania.,Выражение «согласно плану» помогает строить более естественные предложения.,"Warto znać „zgodnie z planem”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «согласно плану», потому что оно часто встречается в разговорах и текстах."
895,895,na bieżąco,по мере поступления,phrase,Wyrażenie „na bieżąco” pomaga budować bardziej naturalne zdania.,Выражение «по мере поступления» помогает строить более естественные предложения.,"Warto znać „na bieżąco”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «по мере поступления», потому что оно часто встречается в разговорах и текстах."
896,896,w związku z tym,в связи с этим,phrase,Wyrażenie „w związku z tym” pomaga budować bardziej naturalne zdania.,Выражение «в связи с этим» помогает строить более естественные предложения.,"Warto znać „w związku z tym”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «в связи с этим», потому что оно часто встречается в разговорах и текстах."
897,897,co więcej,более того,phrase,Wyrażenie „co więcej” pomaga budować bardziej naturalne zdania.,Выражение «более того» помогает строить более естественные предложения.,"Warto znać „co więcej”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «более того», потому что оно часто встречается в разговорах и текстах."
898,898,z drugiej strony,с другой стороны,phrase,Wyrażenie „z drugiej strony” pomaga budować bardziej naturalne zdania.,Выражение «с другой стороны» помогает строить более естественные предложения.,"Warto znać „z drugiej strony”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «с другой стороны», потому что оно часто встречается в разговорах и текстах."
899,899,warto zauważyć,стоит отметить,phrase,Wyrażenie „warto zauważyć” pomaga budować bardziej naturalne zdania.,Выражение «стоит отметить» помогает строить более естественные предложения.,"Warto znać „warto zauważyć”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «стоит отметить», потому что оно часто встречается в разговорах и текстах."
900,900,nie ma wątpliwości,нет сомнений,phrase,Wyrażenie „nie ma wątpliwości” pomaga budować bardziej naturalne zdania.,Выражение «нет сомнений» помогает строить более естественные предложения.,"Warto znać „nie ma wątpliwości”, bo często pojawia się w rozmowach i tekstach.","Стоит знать «нет сомнений», потому что оно часто встречается в разговорах и текстах."
901,901,podsumowanie,резюме,noun,Pojęcie „podsumowanie” często pojawia się w codziennym życiu w Polsce.,Понятие «резюме» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „podsumowanie”, bo jest praktyczne.","Стоит хорошо понимать слово «резюме», потому что оно практичное."
902,902,wniosek końcowy,итоговый вывод,noun,Pojęcie „wniosek końcowy” często pojawia się w codziennym życiu w Polsce.,Понятие «итоговый вывод» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wniosek końcowy”, bo jest praktyczne.","Стоит хорошо понимать слово «итоговый вывод», потому что оно практичное."
903,903,priorytetowy,приоритетный,adjective,Słowo „priorytetowy” często pomaga dokładniej opisać sytuację.,Слово «приоритетный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
904,904,długoterminowy,долгосрочный,adjective,Słowo „długoterminowy” często pomaga dokładniej opisać sytuację.,Слово «долгосрочный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
905,905,krótkoterminowy,краткосрочный,adjective,Słowo „krótkoterminowy” często pomaga dokładniej opisać sytuację.,Слово «краткосрочный» часто помогает точнее описать ситуацию.,"To przydatne słowo w pracy, rozmowach i oficjalnych tekstach.","Это полезное слово в работе, разговорах и официальных текстах."
