id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2,ukrainian,example_ukrainian_1,example_ukrainian_2
816,816,negocjować,вести переговоры,verb,Spróbuję negocjować lepszą cenę za wynajem mieszkania.,Я попробую договориться о лучшей цене за аренду квартиры.,"Ważne jest, aby umieć negocjować warunki umowy o pracę.",Важно уметь вести переговоры об условиях трудового договора.,вести переговори,Я спробую домовитися про кращу ціну за оренду квартири.,Важливо вміти вести переговори щодо умов трудового договору.
817,817,uzgadniać,согласовывать,verb,Musimy uzgadniać terminy spotkań z klientami.,Нам нужно согласовывать сроки встреч с клиентами.,Zawsze uzgadniam plany na weekend z moją rodziną.,Я всегда согласовываю планы на выходные со своей семьёй.,узгоджувати,Нам потрібно узгоджувати терміни зустрічей з клієнтами.,Я завжди узгоджую плани на вихідні зі своєю родиною.
818,818,akceptować,принимать,verb,Musimy akceptować nowe zasady pracy od przyszłego miesiąca.,Мы должны принять новые правила работы со следующего месяца.,Czy akceptują Państwo płatność kartą w tym sklepie?,Вы принимаете оплату картой в этом магазине?,приймати,Ми повинні прийняти нові правила роботи з наступного місяця.,Ви приймаєте оплату карткою в цьому магазині?
819,819,odmawiać,отказывать,verb,"Odmawiam przyjęcia tej paczki, bo jest uszkodzona.","Я отказываюсь принять эту посылку, потому что она повреждена.","Lekarz odmawia wystawienia zwolnienia, jeśli nie ma widocznych objawów choroby.","Врач отказывает в выдаче больничного, если нет видимых симптомов болезни.",відмовляти,"Я відмовляюся прийняти цю посилку, бо вона пошкоджена.","Лікар відмовляє у видачі лікарняного, якщо немає видимих симптомів хвороби."
820,820,wiedza,знания,noun,Do tej pracy potrzebna jest dobra wiedza z języka angielskiego.,Для этой работы необходимы хорошие знания английского языка.,Moja wiedza o historii Polski jest wciąż niewielka.,Мои знания по истории Польши все еще невелики.,знання,Для цієї роботи потрібні хороші знання англійської мови.,Мої знання з історії Польщі все ще невеликі.
821,821,zdolność,способность,noun,Wymagana jest zdolność do pracy w zespole.,Требуется способность работать в команде.,Lekarz ocenił moją zdolność do prowadzenia samochodu.,Врач оценил мою способность управлять автомобилем.,здатність,Вимагається здатність працювати в команді.,Лікар оцінив мою здатність керувати автомобілем.
822,822,talent,талант,noun,Ma prawdziwy talent do nauki języków obcych.,У него настоящий талант к изучению иностранных языков.,Firma poszukuje osób z talentem do sprzedaży.,Компания ищет людей с талантом к продажам.,талант,У нього справжній талант до вивчення іноземних мов.,Компанія шукає людей з талантом до продажів.
823,823,nauczanie,обучение,noun,Nauczanie zdalne stało się bardzo popularne.,Дистанционное обучение стало очень популярным.,Ministerstwo Edukacji wprowadza nowe metody nauczania.,Министерство образования внедряет новые методы обучения.,навчання,Дистанційне навчання стало дуже популярним.,Міністерство освіти впроваджує нові методи навчання.
824,824,uczyć się,учиться,verb,Codziennie uczę się nowych słów po polsku.,Каждый день я учу новые слова по-польски.,Muszę się dużo uczyć do egzaminu na prawo jazdy.,Мне нужно много учиться к экзамену на водительские права.,вчитися,Щодня я вчу нові слова польською.,Мені потрібно багато вчитися до іспиту на водійські права.
825,825,zapamiętać,запомнить,verb,"Proszę zapamiętać swój numer PESEL, często jest potrzebny.","Пожалуйста, запомните свой номер PESEL, он часто нужен.",Czy udało ci się zapamiętać wszystkie instrukcje od lekarza?,Удалось ли тебе запомнить все инструкции от врача?,запам'ятати,"Будь ласка, запам'ятайте свій номер PESEL, він часто потрібен.",Чи вдалося тобі запам'ятати всі інструкції від лікаря?
826,826,pamiętać,помнить,verb,"Pamiętaj, żeby kupić bilet przed wejściem do autobusu.","Помни, чтобы купить билет перед входом в автобус.","Ważne jest, żeby pamiętać o terminach płatności rachunków.",Важно помнить о сроках оплаты счетов.,пам'ятати,"Пам'ятай, щоб купити квиток перед входом в автобус.",Важливо пам'ятати про терміни оплати рахунків.
827,827,zapominać,забывать,verb,"Często zapominam kluczy do mieszkania, muszę być bardziej uważny.","Я часто забываю ключи от квартиры, мне нужно быть внимательнее.",Nie zapomnij wypełnić formularza przed wizytą w urzędzie.,Не забудьте заполнить форму перед визитом в учреждение.,забувати,"Я часто забуваю ключі від квартири, мені потрібно бути уважнішим.",Не забудьте заповнити форму перед візитом до установи.
828,828,myśleć,думать,verb,"Myślę, że ta praca będzie dla mnie dobrym doświadczeniem.","Я думаю, что эта работа будет для меня хорошим опытом.","Musimy dobrze pomyśleć, zanim podejmiemy decyzję o przeprowadzce.","Мы должны хорошо подумать, прежде чем принять решение о переезде.",думати,"Я думаю, що ця робота буде для мене гарним досвідом.","Ми повинні добре подумати, перш ніж прийняти рішення про переїзд."
829,829,wnioskować,делать выводы,verb,"Z zebranych danych można wnioskować, że projekt jest opłacalny.","Из собранных данных можно сделать вывод, что проект рентабелен.","Na podstawie jego zachowania wnioskuję, że jest bardzo zmęczony.","На основании его поведения я делаю вывод, что он очень устал.",робити висновки,"Зі зібраних даних можна зробити висновок, що проєкт є рентабельним.","На підставі його поведінки я роблю висновок, що він дуже втомлений."
830,830,przewidywanie,прогнозирование,noun,Przewidywanie przyszłych trendów rynkowych jest kluczowe dla naszej firmy.,Прогнозирование будущих рыночных тенденций является ключевым для нашей компании.,"Lekarz powiedział, że przewidywanie przebiegu choroby jest trudne.","Врач сказал, что прогнозирование течения болезни затруднительно.",прогнозування,Прогнозування майбутніх ринкових тенденцій є ключовим для нашої компанії.,"Лікар сказав, що прогнозування перебігу хвороби є складним."
831,831,mądrość,мудрость,noun,Z wiekiem przychodzi mądrość i doświadczenie.,С возрастом приходит мудрость и опыт.,Jego mądrość pomogła nam podjąć dobrą decyzję.,Его мудрость помогла нам принять хорошее решение.,мудрість,З віком приходить мудрість і досвід.,Його мудрість допомогла нам прийняти гарне рішення.
832,832,realizacja,реализация,noun,Realizacja projektu idzie zgodnie z planem.,Реализация проекта идет согласно плану.,Czekamy na realizację zamówienia na nowe meble.,Мы ждем реализации заказа на новую мебель.,реалізація,Реалізація проєкту йде згідно з планом.,Ми чекаємо на реалізацію замовлення на нові меблі.
833,833,osiągnięcie celu,достижение цели,noun,Osiągnięcie celu projektu wymagało dużo pracy zespołowej.,Достижение цели проекта потребовало много командной работы.,Moim głównym osiągnięciem celu w tym miesiącu było zdanie egzaminu.,Моим главным достижением цели в этом месяце была сдача экзамена.,досягнення мети,Досягнення мети проєкту вимагало багато командної роботи.,Моїм головним досягненням мети цього місяця було складання іспиту.
834,834,udoskonalać,совершенствовать,verb,"Muszę udoskonalać swoje umiejętności językowe, żeby znaleźć lepszą pracę.","Мне нужно совершенствовать свои языковые навыки, чтобы найти лучшую работу.","Firma stale udoskonala swoje produkty, aby sprostać oczekiwaniom klientów.","Компания постоянно совершенствует свои продукты, чтобы соответствовать ожиданиям клиентов.",удосконалювати,"Мені потрібно вдосконалювати свої мовні навички, щоб знайти кращу роботу.","Компанія постійно вдосконалює свої продукти, щоб відповідати очікуванням клієнтів."
835,835,osiągać sukces,добиваться успеха,verb,"Aby osiągać sukces w biznesie, trzeba być wytrwałym.","Чтобы добиваться успеха в бизнесе, нужно быть настойчивым.","Wierzę, że dzięki ciężkiej pracy będziesz osiągać sukcesy.","Я верю, что благодаря усердной работе ты будешь добиваться успехов.",досягати успіху,"Щоб досягати успіху в бізнесі, потрібно бути наполегливим.","Я вірю, що завдяки важкій праці ти досягатимеш успіхів."
836,836,ponosić odpowiedzialność,нести ответственность,verb,Kto ponosi odpowiedzialność za bezpieczeństwo na budowie?,Кто несёт ответственность за безопасность на стройке?,"Jako kierownik projektu, ponoszę pełną odpowiedzialność za wyniki.","Как руководитель проекта, я несу полную ответственность за результаты.",нести відповідальність,Хто несе відповідальність за безпеку на будівництві?,"Як керівник проєкту, я несу повну відповідальність за результати."
837,837,podejmować działania,предпринимать действия,verb,"Musimy szybko podjąć działania, aby rozwiązać ten problem.","Мы должны быстро предпринять действия, чтобы решить эту проблему.",Urząd podejmie odpowiednie działania w celu poprawy jakości usług.,Учреждение предпримет соответствующие действия для улучшения качества услуг.,вживати заходів,"Ми повинні швидко вжити заходів, щоб вирішити цю проблему.",Установа вживе відповідних заходів для покращення якості послуг.
838,838,dążyć do,стремиться к,verb,Firma dąży do zwiększenia zadowolenia klientów.,Компания стремится к увеличению удовлетворённости клиентов.,"Zawsze dążę do tego, by być lepszym w tym, co robię.","Я всегда стремлюсь к тому, чтобы быть лучше в том, что я делаю.",прагнути до,Компанія прагне до збільшення задоволеності клієнтів.,"Я завжди прагну до того, щоб бути кращим у тому, що я роблю."
839,839,mieć zastosowanie,применяться,phrase,Te przepisy mają zastosowanie do wszystkich cudzoziemców.,Эти правила применяются ко всем иностранцам.,Ta zasada ma zastosowanie tylko w wyjątkowych sytuacjach.,Это правило применимо только в исключительных ситуациях.,мати застосування,Ці правила застосовуються до всіх іноземців.,Це правило застосовується лише у виняткових ситуаціях.
840,840,wynosić,составлять,verb,Miesięczny czynsz za to mieszkanie wynosi 2000 złotych.,Ежемесячная арендная плата за эту квартиру составляет 2000 злотых.,Całkowity koszt naprawy samochodu wyniósł 500 złotych.,Общая стоимость ремонта автомобиля составила 500 злотых.,становити,Щомісячна орендна плата за цю квартиру становить 2000 злотих.,Загальна вартість ремонту автомобіля становила 500 злотих.
841,841,załącznik,приложение,noun,Proszę sprawdzić załącznik do wiadomości e-mail.,"Пожалуйста, проверьте приложение к электронному письму.",Wszystkie wymagane dokumenty są w załączniku.,Все необходимые документы находятся в приложении.,додаток,"Будь ласка, перевірте додаток до електронного листа.",Усі необхідні документи знаходяться в додатку.
842,842,oryginał,оригинал,noun,Muszę pokazać oryginał dowodu osobistego w urzędzie.,Мне нужно показать оригинал удостоверения личности в учреждении.,Czy masz oryginał umowy najmu?,У вас есть оригинал договора аренды?,оригінал,Мені потрібно показати оригінал посвідчення особи в установі.,Чи маєте ви оригінал договору оренди?
843,843,kopia,копия,noun,Proszę złożyć kopię paszportu i wizy.,"Пожалуйста, предоставьте копию паспорта и визы.",Zawsze robię kopię ważnych dokumentów.,Я всегда делаю копию важных документов.,копія,"Будь ласка, подайте копію паспорта та візи.",Я завжди роблю копію важливих документів.
844,844,pełnomocnictwo,доверенность,noun,"Muszę uzyskać pełnomocnictwo, żeby odebrać dokumenty w urzędzie.","Мне нужно получить доверенность, чтобы забрать документы в учреждении.","Adwokat potrzebuje pełnomocnictwa, aby reprezentować klienta w sądzie.","Адвокату нужна доверенность, чтобы представлять клиента в суде.",довіреність,"Мені потрібно отримати довіреність, щоб забрати документи в установі.","Адвокату потрібна довіреність, щоб представляти клієнта в суді."
845,845,status,статус,noun,Sprawdzam status mojej wniosku o pobyt.,Я проверяю статус моего заявления на проживание.,Jaki jest twój status zatrudnienia w Polsce?,Какой у тебя статус занятости в Польше?,статус,Я перевіряю статус моєї заяви на проживання.,Який у тебе статус зайнятості в Польщі?
846,846,konto rozliczeniowe,расчетный счет,noun,"Potrzebuję otworzyć konto rozliczeniowe, żeby otrzymywać wynagrodzenie.","Мне нужно открыть расчетный счет, чтобы получать зарплату.",Czy mogę przelać pieniądze na pańskie konto rozliczeniowe?,Могу ли я перевести деньги на ваш расчетный счет?,розрахунковий рахунок,"Мені потрібно відкрити розрахунковий рахунок, щоб отримувати зарплату.",Чи можу я переказати гроші на ваш розрахунковий рахунок?
847,847,magazyn,склад,noun,Nowe towary są już dostępne w magazynie.,Новые товары уже доступны на складе.,Pracuję jako operator wózka widłowego w dużym magazynie.,Я работаю оператором вилочного погрузчика на большом складе.,склад,Нові товари вже доступні на складі.,Я працюю оператором навантажувача на великому складі.
848,848,przedstawiciel,представитель,noun,Nasz przedstawiciel handlowy odwiedzi Państwa biuro w przyszłym tygodniu.,Наш торговый представитель посетит ваш офис на следующей неделе.,Proszę skontaktować się z przedstawicielem urzędu w sprawie dokumentów.,"Пожалуйста, свяжитесь с представителем учреждения по поводу документов.",представник,Наш торговий представник відвідає ваш офіс наступного тижня.,"Будь ласка, зв'яжіться з представником установи щодо документів."
849,849,kurier,курьер,noun,Kurier dostarczy paczkę pod wskazany adres do godziny 17:00.,Курьер доставит посылку по указанному адресу до 17:00.,Czekam na kuriera z ważnymi dokumentami z banku.,Я жду курьера с важными документами из банка.,кур'єр,Кур'єр доставить посилку за вказаною адресою до 17:00.,Я чекаю на кур'єра з важливими документами з банку.
850,850,zgłaszać,"сообщать, заявлять",verb,Powinieneś zgłaszać wszelkie niepokojące objawy lekarzowi.,Тебе следует сообщать о любых тревожных симптомах врачу.,Proszę zgłaszać usterki do zarządcy budynku.,"Пожалуйста, сообщайте о неисправностях управляющему зданием.","повідомляти, заявляти",Тобі слід повідомляти про будь-які тривожні симптоми лікарю.,"Будь ласка, повідомляйте про несправності керуючому будинком."
851,851,składać wniosek,подавать заявление,verb,Muszę złożyć wniosek o przedłużenie wizy w urzędzie.,Мне нужно подать заявление на продление визы в управление.,"Aby otrzymać mieszkanie, trzeba złożyć wniosek do spółdzielni.","Чтобы получить квартиру, нужно подать заявление в кооператив.",подавати заяву,Мені потрібно подати заяву на продовження візи до управління.,"Щоб отримати квартиру, потрібно подати заяву до кооперативу."
852,852,otrzymywać,получать,verb,Co miesiąc otrzymuję wynagrodzenie na konto bankowe.,Каждый месяц я получаю зарплату на банковский счет.,Wkrótce otrzymam decyzję w sprawie mojego ubezpieczenia zdrowotnego.,Скоро я получу решение по моему медицинскому страхованию.,отримувати,Щомісяця я отримую зарплату на банківський рахунок.,Незабаром я отримаю рішення щодо мого медичного страхування.
853,853,wydawać,выдавать,verb,Urząd wydaje nowe dowody osobiste od poniedziałku.,Управление выдает новые удостоверения личности с понедельника.,Nie mogę wydawać tyle pieniędzy na jedzenie.,Я не могу тратить столько денег на еду.,видавати,Управління видає нові посвідчення особи з понеділка.,Я не можу витрачати стільки грошей на їжу.
854,854,odbiorca,получатель,noun,Proszę wyraźnie wpisać dane odbiorcy na kopercie.,"Пожалуйста, четко впишите данные получателя на конверте.","Jako odbiorca przesyłki, musisz potwierdzić jej odbiór podpisem.","Как получатель посылки, вы должны подтвердить ее получение подписью.",одержувач,"Будь ласка, чітко впишіть дані одержувача на конверті.","Як одержувач відправлення, ви повинні підтвердити його отримання підписом."
855,855,odwołanie,апелляция,noun,Musi pan złożyć odwołanie od tej decyzji w ciągu 14 dni.,Вы должны подать апелляцию на это решение в течение 14 дней.,Czekamy na rozpatrzenie naszego odwołania w sprawie podatku.,Мы ждем рассмотрения нашей апелляции по вопросу налога.,апеляція,Ви повинні подати апеляцію на це рішення протягом 14 днів.,Ми чекаємо на розгляд нашої апеляції щодо податку.
856,856,rozpatrzenie,рассмотрение,noun,Termin rozpatrzenia wniosku wynosi 30 dni.,Срок рассмотрения заявления составляет 30 дней.,Czekam na rozpatrzenie mojej reklamacji.,Я жду рассмотрения моей жалобы.,розгляд,Термін розгляду заяви становить 30 днів.,Я чекаю на розгляд моєї скарги.
857,857,terminowo,своевременно,adverb,"Ważne jest, aby płacić rachunki terminowo, żeby uniknąć kar.","Важно оплачивать счета своевременно, чтобы избежать штрафов.","Proszę dostarczyć dokumenty terminowo, do końca tygodnia.","Пожалуйста, предоставьте документы своевременно, до конца недели.",вчасно,"Важливо оплачувати рахунки вчасно, щоб уникнути штрафів.","Будь ласка, надайте документи вчасно, до кінця тижня."
858,858,powiadomienie,уведомление,noun,Otrzymałem powiadomienie o zmianie terminu wizyty.,Я получил уведомление об изменении даты визита.,"Proszę włączyć powiadomienia, żeby niczego nie przegapić.","Пожалуйста, включите уведомления, чтобы ничего не пропустить.",повідомлення,Я отримав повідомлення про зміну дати візиту.,"Будь ласка, увімкніть сповіщення, щоб нічого не пропустити."
859,859,komunikat,сообщение,noun,Proszę przeczytać ważny komunikat na tablicy ogłoszeń.,"Пожалуйста, прочитайте важное сообщение на доске объявлений.",Otrzymaliśmy komunikat o zmianie terminu spotkania.,Мы получили сообщение об изменении даты встречи.,повідомлення,"Будь ласка, прочитайте важливе повідомлення на дошці оголошень.",Ми отримали повідомлення про зміну дати зустрічі.
860,860,informować,информировать,verb,Musimy informować urząd o każdej zmianie adresu.,Мы должны информировать управление о каждом изменении адреса.,Proszę informować mnie na bieżąco o postępach projektu.,"Пожалуйста, информируйте меня о ходе проекта на постоянной основе.",інформувати,Ми повинні інформувати управління про кожну зміну адреси.,"Будь ласка, інформуйте мене про хід проєкту постійно."
861,861,ogłaszać,объявлять,verb,Firma będzie ogłaszać nowe oferty pracy w przyszłym tygodniu.,Компания будет объявлять новые вакансии на следующей неделе.,Prezydent ogłosił stan wyjątkowy w związku z powodzią.,Президент объявил чрезвычайное положение в связи с наводнением.,оголошувати,Компанія оголошуватиме нові вакансії наступного тижня.,Президент оголосив надзвичайний стан у зв'язку з повінню.
862,862,publikować,публиковать,verb,Musimy publikować ogłoszenia o pracę na naszej stronie internetowej.,Мы должны публиковать объявления о работе на нашем сайте.,"Czy wiesz, gdzie publikują wyniki egzaminów?","Ты знаешь, где публикуют результаты экзаменов?",публікувати,Ми повинні публікувати оголошення про роботу на нашому вебсайті.,"Чи знаєш ти, де публікують результати іспитів?"
863,863,badanie opinii,опрос,noun,Firma przeprowadza badanie opinii klientów na temat nowego produktu.,Компания проводит опрос мнения клиентов о новом продукте.,Wyniki ostatniego badania opinii publicznej są bardzo interesujące.,Результаты последнего опроса общественного мнения очень интересны.,опитування громадської думки,Компанія проводить опитування громадської думки клієнтів щодо нового продукту.,Результати останнього опитування громадської думки дуже цікаві.
864,864,ekspert,эксперт,noun,Potrzebujemy eksperta do oceny stanu technicznego mieszkania przed zakupem.,Нам нужен эксперт для оценки технического состояния квартиры перед покупкой.,Zawsze warto skonsultować się z ekspertem w sprawach podatkowych.,Всегда стоит проконсультироваться с экспертом по налоговым вопросам.,експерт,Нам потрібен експерт для оцінки технічного стану квартири перед покупкою.,Завжди варто проконсультуватися з експертом у податкових питаннях.
865,865,specjalizacja,специализация,noun,Moja specjalizacja to marketing cyfrowy.,Моя специализация — цифровой маркетинг.,"Lekarz powiedział, że jego specjalizacja to kardiologia.","Врач сказал, что его специализация — кардиология.",спеціалізація,Моя спеціалізація — цифровий маркетинг.,"Лікар сказав, що його спеціалізація — кардіологія."
866,866,wspólny,общий,adjective,"Mamy wspólny balkon z sąsiadem, co jest czasem problemem.","У нас общий балкон с соседом, что иногда является проблемой.","Musimy znaleźć wspólne rozwiązanie, które zadowoli wszystkich.","Мы должны найти общее решение, которое удовлетворит всех.",спільний,"У нас спільний балкон із сусідом, що іноді є проблемою.","Ми повинні знайти спільне рішення, яке задовольнить усіх."
867,867,indywidualny,индивидуальный,adjective,Każdy pacjent otrzymuje indywidualny plan leczenia.,Каждый пациент получает индивидуальный план лечения.,Potrzebuję indywidualnej konsultacji w sprawie mojej wizy.,Мне нужна индивидуальная консультация по поводу моей визы.,індивідуальний,Кожен пацієнт отримує індивідуальний план лікування.,Мені потрібна індивідуальна консультація щодо моєї візи.
868,868,ogólny,общий,adjective,Proszę o ogólny zarys planu projektu.,Прошу общий набросок плана проекта.,Jaki jest ogólny koszt wynajmu mieszkania?,Какова общая стоимость аренды квартиры?,загальний,Прошу загальний нарис плану проєкту.,Яка загальна вартість оренди квартири?
869,869,szczegółowy,подробный,adjective,Potrzebujemy szczegółowego raportu z kontroli jakości.,Нам нужен подробный отчет о контроле качества.,Czy mogę prosić o szczegółowy opis trasy autobusu?,Могу ли я попросить подробное описание маршрута автобуса?,детальний,Нам потрібен детальний звіт з контролю якості.,Чи можу я попросити детальний опис маршруту автобуса?
870,870,dokładny,точный,adjective,Proszę podać dokładny adres zamieszkania.,"Пожалуйста, укажите точный адрес проживания.",Musimy być bardzo dokładni przy wypełnianiu formularzy.,Мы должны быть очень точными при заполнении форм.,точний,"Будь ласка, вкажіть точну адресу проживання.",Ми повинні бути дуже точними при заповненні форм.
871,871,aktualny,актуальный,adjective,Czy ma pan/pani aktualny dowód osobisty?,У вас есть актуальное удостоверение личности?,"Proszę sprawdzić, czy adres dostawy jest aktualny.","Пожалуйста, проверьте, актуален ли адрес доставки.",актуальний,Чи маєте ви актуальне посвідчення особи?,"Будь ласка, перевірте, чи актуальна адреса доставки."
872,872,przydatny,полезный,adjective,Ten kurs językowy jest bardzo przydatny w pracy.,Этот языковой курс очень полезен на работе.,Czy te informacje będą dla mnie przydatne?,Будет ли эта информация для меня полезной?,корисний,Цей мовний курс дуже корисний на роботі.,Чи буде ця інформація для мене корисною?
873,873,wartościowy,ценный,adjective,"To bardzo wartościowy dokument, proszę go nie zgubić.","Это очень ценный документ, пожалуйста, не потеряйте его.",Otrzymałem wartościowe wskazówki dotyczące szukania pracy.,Я получил ценные советы по поиску работы.,цінний,"Це дуже цінний документ, будь ласка, не загубіть його.",Я отримав цінні поради щодо пошуку роботи.
874,874,niezwykle,чрезвычайно,adverb,To mieszkanie jest niezwykle przestronne jak na centrum miasta.,Эта квартира чрезвычайно просторная для центра города.,"Wizyta u lekarza była niezwykle ważna, aby omówić wyniki badań.","Визит к врачу был чрезвычайно важен, чтобы обсудить результаты анализов.",надзвичайно,Ця квартира надзвичайно простора для центру міста.,"Візит до лікаря був надзвичайно важливим, щоб обговорити результати аналізів."
875,875,wymagać,требовать,verb,Ta praca wymaga znajomości języka polskiego.,Эта работа требует знания польского языка.,Niektóre choroby wymagają długiego leczenia.,Некоторые болезни требуют длительного лечения.,вимагати,Ця робота вимагає знання польської мови.,Деякі хвороби вимагають тривалого лікування.
876,876,zapewnić,обеспечить,verb,Urząd miasta obiecał zapewnić nam tymczasowe zakwaterowanie.,Мэрия обещала обеспечить нас временным жильем.,Musimy zapewnić bezpieczeństwo wszystkim pracownikom.,Мы должны обеспечить безопасность всем сотрудникам.,забезпечити,Мерія обіцяла забезпечити нас тимчасовим житлом.,Ми повинні забезпечити безпеку всім працівникам.
877,877,przedstawiać,представлять,verb,Chciałbym przedstawić mojego nowego kolegę z pracy.,Я хотел бы представить моего нового коллегу по работе.,Proszę przedstawić swoje pomysły na spotkaniu.,"Пожалуйста, представьте свои идеи на встрече.",представляти,Я хотів би представити мого нового колегу по роботі.,"Будь ласка, представте свої ідеї на зустрічі."
878,878,dostarczać,предоставлять,verb,Firma dostarcza meble do domu klienta.,Компания доставляет мебель на дом клиенту.,Muszę dostarczyć wszystkie dokumenty do urzędu do piątku.,Мне нужно предоставить все документы в управление до пятницы.,надавати,Компанія доставляє меблі додому клієнту.,Мені потрібно надати всі документи до установи до п'ятниці.
879,879,okazywać się,оказываться,verb,"Ten problem okazał się łatwiejszy, niż myślałem.","Эта проблема оказалась легче, чем я думал.",Nowy sąsiad okazał się bardzo miły i pomocny.,Новый сосед оказался очень милым и отзывчивым.,виявлятися,"Ця проблема виявилася легшою, ніж я думав.",Новий сусід виявився дуже милим і корисним.
880,880,stanowić,"составлять, представлять собой",verb,To może stanowić problem dla naszej firmy.,Это может составить проблему для нашей фирмы.,Te dokumenty stanowią dowód twojego zamieszkania.,Эти документы представляют собой доказательство вашего проживания.,становити,Це може становити проблему для нашої фірми.,Ці документи становлять доказ вашого проживання.
881,881,dążyć,стремиться,verb,Zawsze dążę do doskonałości w mojej pracy.,Я всегда стремлюсь к совершенству в своей работе.,Musimy dążyć do lepszych warunków życia dla wszystkich.,Мы должны стремиться к лучшим условиям жизни для всех.,прагнути,Я завжди прагну досконалості у своїй роботі.,Ми повинні прагнути кращих умов життя для всіх.
882,882,przynosić,приносить,verb,Ta inwestycja przynosi nam duże zyski.,Эта инвестиция приносит нам большие прибыли.,Proszę przynieść mi kawę do biura.,"Пожалуйста, принесите мне кофе в офис.",приносити,Ця інвестиція приносить нам великі прибутки.,"Будь ласка, принесіть мені каву до офісу."
883,883,dotychczasowy,прежний,adjective,Proszę podać swój dotychczasowy adres zamieszkania.,"Пожалуйста, укажите ваш прежний адрес проживания.",Dotychczasowy właściciel mieszkania zostawił nam klucze.,Прежний владелец квартиры оставил нам ключи.,дотеперішній,"Будь ласка, вкажіть вашу дотеперішню адресу проживання.",Дотеперішній власник квартири залишив нам ключі.
884,884,przyszły,будущий,adjective,Proszę opowiedzieć nam o swoich przyszłych planach zawodowych.,"Пожалуйста, расскажите нам о ваших будущих профессиональных планах.",Nasz przyszły sąsiad wprowadza się w przyszłym tygodniu.,Наш будущий сосед въезжает на следующей неделе.,майбутній,"Будь ласка, розкажіть нам про ваші майбутні професійні плани.",Наш майбутній сусід заселяється наступного тижня.
885,885,obecny,текущий,adjective,Jaki jest pana obecny status zatrudnienia?,Какой ваш текущий статус занятости?,Obecny rozkład jazdy pociągów jest dostępny online.,Текущее расписание поездов доступно онлайн.,поточний,Який ваш поточний статус зайнятості?,Поточний розклад руху поїздів доступний онлайн.
886,886,pozostały,оставшийся,adjective,Musimy wykorzystać pozostały czas na przygotowanie prezentacji.,Мы должны использовать оставшееся время для подготовки презентации.,Czy są jakieś pozostałe dokumenty do podpisania?,Есть ли какие-то оставшиеся документы для подписания?,залишковий,Ми повинні використати залишковий час для підготовки презентації.,Чи є якісь залишкові документи для підписання?
887,887,właściwy,правильный,adjective,Proszę wypełnić formularz we właściwy sposób.,"Пожалуйста, заполните форму правильным образом.",Skontaktuj się z właściwym urzędem w celu uzyskania informacji.,Свяжитесь с соответствующим учреждением для получения информации.,правильний,"Будь ласка, заповніть форму належним чином.",Зверніться до відповідного органу для отримання інформації.
888,888,niewłaściwy,неправильный,adjective,"Podałeś niewłaściwy numer konta, płatność nie przeszła.","Вы указали неправильный номер счета, платеж не прошел.","To jest niewłaściwy adres, musimy jechać w inną stronę.","Это неправильный адрес, нам нужно ехать в другую сторону.",неправильний,"Ви вказали неправильний номер рахунку, платіж не пройшов.","Це неправильна адреса, нам потрібно їхати в інший бік."
889,889,zgodny,соответствующий,adjective,"Proszę sprawdzić, czy dokumenty są zgodne z wymaganiami.","Пожалуйста, проверьте, соответствуют ли документы требованиям.",Musimy być zgodni co do terminu spotkania.,Мы должны быть согласны относительно даты встречи.,відповідний,"Будь ласка, перевірте, чи документи відповідають вимогам.",Ми повинні бути згодні щодо дати зустрічі.
890,890,podobnie,аналогично,adverb,"W zeszłym roku ceny mieszkań wzrosły, a podobnie jest w tym roku.","В прошлом году цены на квартиры выросли, и аналогично обстоит дело в этом году.","Jeśli masz problemy z transportem publicznym, inni pasażerowie prawdopodobnie myślą podobnie.","Если у вас проблемы с общественным транспортом, другие пассажиры, вероятно, думают аналогично.",подібно,"Минулого року ціни на квартири зросли, і подібна ситуація цього року.","Якщо у вас проблеми з громадським транспортом, інші пасажири, ймовірно, думають так само."
891,891,jednocześnie,одновременно,adverb,Muszę pracować i jednocześnie uczyć się polskiego.,Мне нужно работать и одновременно учить польский.,Możemy wypełnić ten formularz i jednocześnie złożyć wniosek.,Мы можем заполнить эту форму и одновременно подать заявление.,одночасно,Мені потрібно працювати й одночасно вивчати польську.,Ми можемо заповнити цю форму й одночасно подати заяву.
892,892,w konsekwencji,вследствие этого,phrase,"Nie zapłacił rachunku za prąd, w konsekwencji odcięli mu dostawę.","Он не заплатил счет за электричество, вследствие этого ему отключили подачу.","Z powodu złej pogody lot został opóźniony, w konsekwencji spóźniłem się na spotkanie.","Из-за плохой погоды рейс был задержан, вследствие этого я опоздал на встречу.",як наслідок,"Він не заплатив рахунок за електроенергію, як наслідок, йому відключили постачання.","Через погану погоду рейс було затримано, як наслідок, я запізнився на зустріч."
